region	split	tip_count	bootstrap_replicates	bootstrap_count	bootstrap_percent
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	67	1000	998	99.8
LTR	3p25.3__hap1__n279;3p25.3__hap2__n49	2	1000	1000	100.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3p25.3__hap1__n279;3p25.3__hap2__n49;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	69	1000	412	41.2
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10p14__hap1__n252;10p14__hap2__n42;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1a__hap1__n173;1p31.1a__hap2__n106;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3p25.3__hap1__n279;3p25.3__hap2__n49;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	73	1000	306	30.6
LTR	4q32.3__hap1__n157;4q32.3__hap2__n141	2	1000	990	99.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10p14__hap1__n252;10p14__hap2__n42;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1a__hap1__n173;1p31.1a__hap2__n106;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3p25.3__hap1__n279;3p25.3__hap2__n49;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;4q32.3__hap1__n157;4q32.3__hap2__n141;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	75	1000	729	72.9
LTR	19p12e__hap1__n315;19p12e__hap2__n93	2	1000	1000	100.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10p14__hap1__n252;10p14__hap2__n42;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p12e__hap1__n315;19p12e__hap2__n93;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1a__hap1__n173;1p31.1a__hap2__n106;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3p25.3__hap1__n279;3p25.3__hap2__n49;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;4q32.3__hap1__n157;4q32.3__hap2__n141;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	77	1000	888	88.8
LTR	1q32.2__hap1__n331;1q32.2__hap2__n12;5p12__hap1__n225;5p12__hap2__n175	4	1000	857	85.7
LTR	5p12__hap1__n225;5p12__hap2__n175	2	1000	1000	100.0
LTR	1q32.2__hap1__n331;1q32.2__hap2__n12	2	1000	1000	100.0
LTR	10p12.1__hap1__n269;10p12.1__hap2__n81;10p14__hap1__n252;10p14__hap2__n42;10q24.2__hap1__n189;10q24.2__hap2__n114;11q22.1__hap1__n160;11q22.1__hap2__n88;11q23.3__hap1__n159;11q23.3__hap2__n147;12q13.2__hap1__n216;12q13.2__hap2__n61;12q14.1__hap1__n260;12q14.1__hap2__n127;13p13__hap1__n7;13p13__hap2__n4;15p13b__hap1__n9;15p13b__hap2__n5;16p11.2__hap1__n315;16p11.2__hap2__n30;19p12b__hap1__n57;19p12b__hap2__n3;19p12c__hap1__n69;19p12c__hap2__n62;19p12d__hap1__n264;19p12d__hap2__n193;19p12e__hap1__n315;19p12e__hap2__n93;19p13.3__hap1__n107;19p13.3__hap2__n70;19q12__hap1__n314;19q12__hap2__n40;1p31.1a__hap1__n173;1p31.1a__hap2__n106;1p31.1b__hap1__n97;1p31.1b__hap2__n72;1q22__hap1__n256;1q22__hap2__n40;1q23.3__hap1__n195;1q23.3__hap2__n71;1q32.2__hap1__n331;1q32.2__hap2__n12;21q21.1__hap1__n82;21q21.1__hap2__n31;22q11.21__hap1__n99;22q11.21__hap2__n35;2q21.1__hap1__n236;2q21.1__hap2__n143;3p25.3__hap1__n279;3p25.3__hap2__n49;3q12.3__hap1__n184;3q12.3__hap2__n105;3q13.2__hap1__n261;3q13.2__hap2__n32;3q21.2__hap1__n194;3q21.2__hap2__n63;3q27.2__hap1__n242;3q27.2__hap2__n56;4q32.1__hap1__n132;4q32.1__hap2__n78;4q32.3__hap1__n157;4q32.3__hap2__n141;5p12__hap1__n225;5p12__hap2__n175;5p13.3__hap1__n245;5p13.3__hap2__n147;5q11.2__hap1__n331;5q11.2__hap2__n108;5q33.3__hap1__n307;5q33.3__hap2__n53;6q14.1__hap1__n152;6q14.1__hap2__n106;7p22.1__hap1__n93;7p22.1__hap2__n81;8p23.1a_hg38__hap1__n25;8p23.1a_hg38__hap2__n4;8q11.23_new__hap1__n465;8q11.23_new__hap2__n9;8q24.3a__hap1__n174;8q24.3a__hap2__n159;Xq21.33__hap1__n3	81	1000	1000	100.0
LTR	11q12.3__hap1__n361;11q12.3__hap2__n65;12p11.21__hap1__n345;12p11.21__hap2__n103;19p12a__hap1__n256;19p12a__hap2__n111;19q13.12b__hap1__n245;19q13.12b__hap2__n81;19q13.41__hap1__n201;19q13.41__hap2__n133;1p34.3__hap1__n2;6p22.1__hap1__n169;6p22.1__hap2__n116	13	1000	586	58.6
