feature	locus	lr_positive_people	sr_callable_lr_positive_people	sr_recovered_people	sr_unknown_people	conditional_positive_concordance	overall_workflow_recovery	ci_low	ci_high	missed_callable_people
gag_pro	HML-2_5p12	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_5p13.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_5q11.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_5q33.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_5q33.3	276	276	276	0	1.0	1.0	0.9862727315785058	0.9999999999999998	0
gag_pro	HML-2_6p21.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_6p22.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_6q11.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_6q14.1	266	266	266	0	1.0	1.0	0.9857640155168048	1.0	0
gag_pro	HML-2_6q25.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_7p22.1	259	259	0	0	0.0	0.0	0.0	0.014615117561475346	259
gag_pro	HML-2_7q11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_7q22.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_7q34	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8p23.1a_hg38	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8p23.1b	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8p23.1c	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8p23.1e	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8q11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8q11.23_new	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8q24.3a	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_8q24.3c	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_9q34.11	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_9q34.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_Xq11.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_Xq12	0	0	0	0	nan	nan	nan	nan	0
gag_pro	HML-2_Xq21.33	6	0	0	6	nan	0.0	nan	nan	0
gag_pro	HML-2_Xq28b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_10p14	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_10q24.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_11p15.4	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_11q12.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_11q12.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_11q22.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_11q23.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_12p11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_12q13.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_12q14.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_12q24.33	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_15q25.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_16p11.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19p12a	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19p12b	32	32	0	0	0.0	0.0	0.0	0.1071791982550706	32
gag_pro_pol	HML-2_19p12c	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19p12d	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19p12e	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19p13.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19q12	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19q13.12a	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19q13.12b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19q13.41	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_19q13.42	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1p31.1b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1p34.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1p36.21a	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1p36.21b	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1p36.21c	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1q21.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1q22	9	9	0	0	0.0	0.0	0.0	0.2991450484195441	9
gag_pro_pol	HML-2_1q23.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1q24.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1q32.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_1q43	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_20q11.22	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_21q21.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_22q11.21	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_22q11.23	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_2q21.1	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3p12.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3p25.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3q12.3	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3q13.2	0	0	0	0	nan	nan	nan	nan	0
gag_pro_pol	HML-2_3q21.2	0	0	0	0	nan	nan	nan	nan	0
